temp,soc,c
0,0,4.67226497832001
0,0.05,14.9085433802948
0,0.1,46.561375085585
0,0.15,78.2142067908751
0,0.2,109.902681767645
0,0.25,141.599233333218
0,0.3,167.250314656661
0,0.35,183.768587295168
0,0.4,200.286859933674
0,0.45,211.543870386115
0,0.5,222.699880214447
0,0.55,233.746844067933
0,0.6,244.709358549958
0,0.65,254.878188336898
0,0.7,260.405712752857
0,0.75,265.933237168815
0,0.8,252.853450220051
0,0.85,232.842456323645
0,0.9,212.83146242724
0,0.95,192.820468530834
0,1,172.809474634429
10,0,6.18735105061212
10,0.05,47.5095465561479
10,0.1,128.161274630974
10,0.15,206.373749813089
10,0.2,279.13468871931
10,0.25,344.292482438803
10,0.3,360.79529382752
10,0.35,377.298105216237
10,0.4,374.943652440595
10,0.45,371.826374600371
10,0.5,377.558105266629
10,0.55,385.684670141207
10,0.6,397.956931468948
10,0.65,412.846819924511
10,0.7,428.032058020945
10,0.75,443.59468443836
10,0.8,441.714871958258
10,0.85,391.460396060627
10,0.9,341.205920162996
10,0.95,290.951444265364
10,1,240.696968367733
20,0,10.2969370385232
20,0.05,121.443891824365
20,0.1,237.905265113707
20,0.15,364.391795011572
20,0.2,476.14764461682
20,0.25,551.385119958375
20,0.3,608.584884385184
20,0.35,604.861356263984
20,0.4,596.408456537063
20,0.45,564.811755104577
20,0.5,535.899039011951
20,0.55,528.582276529618
20,0.6,524.124256195536
20,0.65,572.112110219109
20,0.7,620.099964242683
20,0.75,626.865903916791
20,0.8,633.322772074285
20,0.85,552.747686731091
20,0.9,465.973830404235
20,0.95,379.199974077378
20,1,292.426117750522
30,0,127.602636426295
30,0.05,264.664872289005
30,0.1,401.727108151715
30,0.15,510.478519076831
30,0.2,618.82585848344
30,0.25,729.388362060557
30,0.3,840.015331405594
30,0.35,821.492527731568
30,0.4,797.252813371574
30,0.45,746.225010069386
30,0.5,693.600551536173
30,0.55,664.336355221254
30,0.6,636.836544190793
30,0.65,784.330884174956
30,0.7,947.898211132638
30,0.75,861.412577833814
30,0.8,747.675882734991
30,0.85,643.41065700414
30,0.9,540.346271470388
30,0.95,437.281885936635
30,1,334.217500402883
40,0,584.977274515747
40,0.05,461.822854475272
40,0.1,525.894485751395
40,0.15,593.848571809068
40,0.2,669.265574459138
40,0.25,755.620995540236
40,0.3,858.805422734434
40,0.35,910.648608888275
40,0.4,898.619739940632
40,0.45,868.624744367623
40,0.5,820.48479286143
40,0.55,784.848630730154
40,0.6,759.476574784322
40,0.65,943.729430309675
40,0.7,1267.11816239216
40,0.75,1173.33734458346
40,0.8,857.630803260566
40,0.85,688.580017105819
40,0.9,581.029217687943
40,0.95,473.478418270067
40,1,365.927618852191
