temp,soc,voc
0,0,341.8464
0,0.05,343.878654612591
0,0.1,345.64644126436
0,0.15,347.41422791613
0,0.2,348.799680538004
0,0.25,350.098498162107
0,0.3,351.455810579876
0,0.35,352.901490277315
0,0.4,354.347169974753
0,0.45,356.439321011968
0,0.5,358.543882380864
0,0.55,361.281806316122
0,0.6,364.51023043455
0,0.65,367.866254165081
0,0.7,371.968454265971
0,0.75,376.070654366861
0,0.8,380.042999167101
0,0.85,383.966972983247
0,0.9,388.108749472282
0,0.95,392.732027157595
0,1,397.355304842908
10,0,336.8544
10,0.05,339.490220295195
10,0.1,342.263331355961
10,0.15,344.796207850993
10,0.2,346.792179192099
10,0.25,348.704595356275
10,0.3,350.082314949841
10,0.35,351.460034543407
10,0.4,352.9904843371
10,0.45,354.527112462059
10,0.5,356.713646396784
10,0.55,359.076066326451
10,0.6,362.256015769281
10,0.65,365.952160127881
10,0.7,370.014656270931
10,0.75,374.545265002209
10,0.8,378.998623178065
10,0.85,383.237735534325
10,0.9,387.550468568336
10,0.95,392.598832919359
10,1,397.647197270381
20,0,332.5632
20,0.05,336.064034678119
20,0.1,339.355101902968
20,0.15,342.250462322074
20,0.2,344.958211375002
20,0.25,347.200858888143
20,0.3,349.253957361002
20,0.35,350.66684424117
20,0.4,352.111330320792
20,0.45,353.71045123717
20,0.5,355.405983471499
20,0.55,357.877262994413
20,0.6,360.430702993857
20,0.65,364.491441590308
20,0.7,368.552180186759
20,0.75,373.205427451808
20,0.8,377.863117197409
20,0.85,382.329394027145
20,0.9,386.782037647685
20,0.95,391.915608917404
20,1,397.146891624324
30,0,325.8528
30,0.05,332.053969060868
30,0.1,338.255138121735
30,0.15,341.213534696856
30,0.2,344.125648198086
30,0.25,346.537686775842
30,0.3,348.935172159579
30,0.35,350.502130927059
30,0.4,352.032325816628
30,0.45,353.65241048097
30,0.5,355.277852861549
30,0.55,357.718864184461
30,0.6,360.221474894695
30,0.65,364.474295977873
30,0.7,368.887871625488
30,0.75,373.38720610118
30,0.8,377.895886673481
30,0.85,382.438345288767
30,0.9,386.985086453066
30,0.95,392.151897563571
30,1,397.408748530347
40,0,305.0304
40,0.05,327.801927723678
40,0.1,334.183222762716
40,0.15,339.387459823576
40,0.2,342.329137238589
40,0.25,345.074750157235
40,0.3,347.51871337865
40,0.35,349.686105949933
40,0.4,351.509425502202
40,0.45,353.261539956973
40,0.5,354.941740560569
40,0.55,357.109170648576
40,0.6,359.676557502865
40,0.65,363.461029312775
40,0.7,368.053325827087
40,0.75,372.642566297865
40,0.8,377.230181015583
40,0.85,381.880215575101
40,0.9,386.55642585093
40,0.95,391.762066468694
40,1,397.138300019906
