temp,soc,c
273.15,0.0,149.51247930624
273.15,0.05,477.073388169435
273.15,0.1,1489.96400273872
273.15,0.15,2502.854617308
273.15,0.2,3516.88581656464
273.15,0.25,4531.17546666299
273.15,0.3,5352.01006901315
273.15,0.35,5880.59479344536
273.15,0.4,6409.17951787757
273.15,0.45,6769.40385235567
273.15,0.5,7126.39616686231
273.15,0.55,7479.89901017385
273.15,0.6,7830.69947359865
273.15,0.65,8156.10202678075
273.15,0.7,8332.98280809141
273.15,0.75,8509.86358940208
273.15,0.8,8091.31040704162
273.15,0.85,7450.95860235664
273.15,0.9,6810.60679767167
273.15,0.95,6170.25499298669
273.15,1.0,5529.90318830172
283.15,0.0,197.995233619588
283.15,0.05,1520.30548979673
283.15,0.1,4101.16078819117
283.15,0.15,6603.95999401886
283.15,0.2,8932.31003901793
283.15,0.25,11017.3594380417
283.15,0.3,11545.4494024806
283.15,0.35,12073.5393669196
283.15,0.4,11998.196878099
283.15,0.45,11898.4439872119
283.15,0.5,12081.8593685321
283.15,0.55,12341.9094445186
283.15,0.6,12734.6218070063
283.15,0.65,13211.0982375843
283.15,0.7,13697.0258566703
283.15,0.75,14195.0299020275
283.15,0.8,14134.8759026643
283.15,0.85,12526.7326739401
283.15,0.9,10918.5894452159
283.15,0.95,9310.44621649165
283.15,1.0,7702.30298776745
293.15,0.0,329.501985232743
293.15,0.05,3886.20453837969
293.15,0.1,7612.96848363861
293.15,0.15,11660.5374403703
293.15,0.2,15236.7246277382
293.15,0.25,17644.323838668
293.15,0.3,19474.7163003259
293.15,0.35,19355.5634004475
293.15,0.4,19085.070609186
293.15,0.45,18073.9761633465
293.15,0.5,17148.7692483824
293.15,0.55,16914.6328489478
293.15,0.6,16771.9761982571
293.15,0.65,18307.5875270115
293.15,0.7,19843.1988557658
293.15,0.75,20059.7089253373
293.15,0.8,20266.3287063771
293.15,0.85,17687.9259753949
293.15,0.9,14911.1625729355
293.15,0.95,12134.3991704761
293.15,1.0,9357.63576801671
303.15,0.0,4083.28436564144
303.15,0.05,8469.27591324817
303.15,0.1,12855.2674608549
303.15,0.15,16335.3126104586
303.15,0.2,19802.4274714701
303.15,0.25,23340.4275859378
303.15,0.3,26880.490604979
303.15,0.35,26287.7608874102
303.15,0.4,25512.0900278903
303.15,0.45,23879.2003222203
303.15,0.5,22195.2176491575
303.15,0.55,21258.7633670801
303.15,0.6,20378.7694141054
303.15,0.65,25098.5882935986
303.15,0.7,30332.7427562444
303.15,0.75,27565.2024906821
303.15,0.8,23925.6282475197
303.15,0.85,20589.1410241325
303.15,0.9,17291.0806870524
303.15,0.95,13993.0203499723
303.15,1.0,10694.9600128923
313.15,0.0,12500.0
313.15,0.05,14778.3313432087
313.15,0.1,16828.6235440446
313.15,0.15,19003.1542978902
313.15,0.2,21416.4983826924
313.15,0.25,24179.8718572875
313.15,0.3,27481.7735275019
313.15,0.35,29140.7554844248
313.15,0.4,28755.8316781002
313.15,0.45,27795.9918197639
313.15,0.5,26255.5133715658
313.15,0.55,25115.1561833649
313.15,0.6,24303.2503930983
313.15,0.65,30199.3417699096
313.15,0.7,40547.7811965492
313.15,0.75,37546.7950266708
313.15,0.8,27444.1857043381
313.15,0.85,22034.5605473862
313.15,0.9,18592.9349660142
313.15,0.95,15151.3093846421
313.15,1.0,11709.6838032701
