temp,soc,c
273.15,0.0,4.67226497832001
273.15,0.05,14.9085433802948
273.15,0.1,46.561375085585
273.15,0.15,78.2142067908751
273.15,0.2,109.902681767645
273.15,0.25,141.599233333218
273.15,0.3,167.250314656661
273.15,0.35,183.768587295168
273.15,0.4,200.286859933674
273.15,0.45,211.543870386115
273.15,0.5,222.699880214447
273.15,0.55,233.746844067933
273.15,0.6,244.709358549958
273.15,0.65,254.878188336898
273.15,0.7,260.405712752857
273.15,0.75,265.933237168815
273.15,0.8,252.853450220051
273.15,0.85,232.842456323645
273.15,0.9,212.83146242724
273.15,0.95,192.820468530834
273.15,1.0,172.809474634429
283.15,0.0,6.18735105061212
283.15,0.05,47.5095465561479
283.15,0.1,128.161274630974
283.15,0.15,206.373749813089
283.15,0.2,279.13468871931
283.15,0.25,344.292482438803
283.15,0.3,360.79529382752
283.15,0.35,377.298105216237
283.15,0.4,374.943652440595
283.15,0.45,371.826374600371
283.15,0.5,377.558105266629
283.15,0.55,385.684670141207
283.15,0.6,397.956931468948
283.15,0.65,412.846819924511
283.15,0.7,428.032058020945
283.15,0.75,443.59468443836
283.15,0.8,441.714871958258
283.15,0.85,391.460396060627
283.15,0.9,341.205920162996
283.15,0.95,290.951444265364
283.15,1.0,240.696968367733
293.15,0.0,10.2969370385232
293.15,0.05,121.443891824365
293.15,0.1,237.905265113707
293.15,0.15,364.391795011572
293.15,0.2,476.14764461682
293.15,0.25,551.385119958375
293.15,0.3,608.584884385184
293.15,0.35,604.861356263984
293.15,0.4,596.408456537063
293.15,0.45,564.811755104577
293.15,0.5,535.899039011951
293.15,0.55,528.582276529618
293.15,0.6,524.124256195536
293.15,0.65,572.112110219109
293.15,0.7,620.099964242683
293.15,0.75,626.865903916791
293.15,0.8,633.322772074285
293.15,0.85,552.747686731091
293.15,0.9,465.973830404235
293.15,0.95,379.199974077378
293.15,1.0,292.426117750522
303.15,0.0,127.602636426295
303.15,0.05,264.664872289005
303.15,0.1,401.727108151715
303.15,0.15,510.478519076831
303.15,0.2,618.82585848344
303.15,0.25,729.388362060557
303.15,0.3,840.015331405594
303.15,0.35,821.492527731568
303.15,0.4,797.252813371574
303.15,0.45,746.225010069386
303.15,0.5,693.600551536173
303.15,0.55,664.336355221254
303.15,0.6,636.836544190793
303.15,0.65,784.330884174956
303.15,0.7,947.898211132638
303.15,0.75,861.412577833814
303.15,0.8,747.675882734991
303.15,0.85,643.41065700414
303.15,0.9,540.346271470388
303.15,0.95,437.281885936635
303.15,1.0,334.217500402883
313.15,0.0,584.977274515747
313.15,0.05,461.822854475272
313.15,0.1,525.894485751395
313.15,0.15,593.848571809068
313.15,0.2,669.265574459138
313.15,0.25,755.620995540236
313.15,0.3,858.805422734434
313.15,0.35,910.648608888275
313.15,0.4,898.619739940632
313.15,0.45,868.624744367623
313.15,0.5,820.48479286143
313.15,0.55,784.848630730154
313.15,0.6,759.476574784322
313.15,0.65,943.729430309675
313.15,0.7,1267.11816239216
313.15,0.75,1173.33734458346
313.15,0.8,857.630803260566
313.15,0.85,688.580017105819
313.15,0.9,581.029217687943
313.15,0.95,473.478418270067
313.15,1.0,365.927618852191
