temp,soc,r0
273.15,0.0,0.0066965402042469
273.15,0.05,0.0054753472052937
273.15,0.1,0.0056332245383131
273.15,0.15,0.0057911018713326
273.15,0.2,0.0058452566390916
273.15,0.25,0.0058759083872198
273.15,0.3,0.0058980320096476
273.15,0.35,0.0059072723099607
273.15,0.4,0.0059165126102738
273.15,0.45,0.0058814054696997
273.15,0.5,0.0058454469898369
273.15,0.55,0.0058288013556423
273.15,0.6,0.0058271123274123
273.15,0.65,0.0058222803376459
273.15,0.7,0.0057990689532029
273.15,0.75,0.00577585756876
273.15,0.8,0.0058153161536143
273.15,0.85,0.0058781192463391
273.15,0.9,0.0059409223390639
273.15,0.95,0.0060037254317886
273.15,1.0,0.0060665285245134
283.15,0.0,0.004414548033179
283.15,0.05,0.0040526502212657
283.15,0.1,0.0040882214714774
283.15,0.15,0.0041204211225849
283.15,0.2,0.0041450855177626
283.15,0.25,0.0041646303641762
283.15,0.3,0.004151413564121
283.15,0.35,0.0041381967640658
283.15,0.4,0.0041125976662386
283.15,0.45,0.0040864976724694
283.15,0.5,0.0040764853988399
283.15,0.55,0.0040708269940643
283.15,0.6,0.0040440442590023
283.15,0.65,0.0040039234465775
283.15,0.7,0.0039873752076391
283.15,0.75,0.004000947248864
283.15,0.8,0.004025098369317
283.15,0.85,0.004078589388848
283.15,0.9,0.004132080408379
283.15,0.95,0.00418557142791
283.15,1.0,0.004239062447441
293.15,0.0,0.0032731670264651
293.15,0.05,0.0032053781108669
293.15,0.1,0.0031493523621489
293.15,0.15,0.0031155167345343
293.15,0.2,0.0030903185269324
293.15,0.25,0.0030865330803458
293.15,0.3,0.003084400015245
293.15,0.35,0.003087847953251
293.15,0.4,0.0030859802569094
293.15,0.45,0.003058099805061
293.15,0.5,0.0030310641815688
293.15,0.55,0.0030108262382716
293.15,0.6,0.0029908406575729
293.15,0.65,0.0029754848673343
293.15,0.7,0.0029601290770958
293.15,0.75,0.0029966588151606
293.15,0.8,0.0030335775778299
293.15,0.85,0.0030355711284121
293.15,0.9,0.0030350771628285
293.15,0.95,0.0030345831972449
293.15,1.0,0.0030340892316612
303.15,0.0,0.0025970516708199
303.15,0.05,0.0025216966312275
303.15,0.1,0.0024463415916352
303.15,0.15,0.0023964589298076
303.15,0.2,0.002346939827233
303.15,0.25,0.0023435051344103
303.15,0.3,0.0023414115913332
303.15,0.35,0.0023255669379346
303.15,0.4,0.002309113581418
303.15,0.45,0.002300153613716
303.15,0.5,0.0022916402758007
303.15,0.55,0.0022815686687091
303.15,0.6,0.0022713793665686
303.15,0.65,0.0022541408711412
303.15,0.7,0.0022362549164061
303.15,0.75,0.002236058986092
303.15,0.8,0.0022377909351688
303.15,0.85,0.0022339173964626
303.15,0.9,0.0022293331660154
303.15,0.95,0.0022247489355683
303.15,1.0,0.0022201647051211
313.15,0.0,0.0022562747952593
313.15,0.05,0.0020700660740589
313.15,0.1,0.0020022146449645
313.15,0.15,0.0019462542300495
313.15,0.2,0.0019131509125158
313.15,0.25,0.0018914545740599
313.15,0.3,0.0018873081329538
313.15,0.35,0.0018816744847451
313.15,0.4,0.0018741906480312
313.15,0.45,0.0018610667346626
313.15,0.5,0.0018422466050482
313.15,0.55,0.00182988515475
313.15,0.6,0.0018228255028372
313.15,0.65,0.0018165446143148
313.15,0.7,0.0018107806201166
313.15,0.75,0.001810180044858
313.15,0.8,0.0018123263035528
313.15,0.85,0.0018087164514769
313.15,0.9,0.0018026927784388
313.15,0.95,0.0017966691054006
313.15,1.0,0.0017906454323625
