temp,soc,voc
273.15,0.0,341.8464
273.15,0.05,343.878654612591
273.15,0.1,345.64644126436
273.15,0.15,347.41422791613
273.15,0.2,348.799680538004
273.15,0.25,350.098498162107
273.15,0.3,351.455810579876
273.15,0.35,352.901490277315
273.15,0.4,354.347169974753
273.15,0.45,356.439321011968
273.15,0.5,358.543882380864
273.15,0.55,361.281806316122
273.15,0.6,364.51023043455
273.15,0.65,367.866254165081
273.15,0.7,371.968454265971
273.15,0.75,376.070654366861
273.15,0.8,380.042999167101
273.15,0.85,383.966972983247
273.15,0.9,388.108749472282
273.15,0.95,392.732027157595
273.15,1.0,397.355304842908
283.15,0.0,336.8544
283.15,0.05,339.490220295195
283.15,0.1,342.263331355961
283.15,0.15,344.796207850993
283.15,0.2,346.792179192099
283.15,0.25,348.704595356275
283.15,0.3,350.082314949841
283.15,0.35,351.460034543407
283.15,0.4,352.9904843371
283.15,0.45,354.527112462059
283.15,0.5,356.713646396784
283.15,0.55,359.076066326451
283.15,0.6,362.256015769281
283.15,0.65,365.952160127881
283.15,0.7,370.014656270931
283.15,0.75,374.545265002209
283.15,0.8,378.998623178065
283.15,0.85,383.237735534325
283.15,0.9,387.550468568336
283.15,0.95,392.598832919359
283.15,1.0,397.647197270381
293.15,0.0,332.5632
293.15,0.05,336.064034678119
293.15,0.1,339.355101902968
293.15,0.15,342.250462322074
293.15,0.2,344.958211375002
293.15,0.25,347.200858888143
293.15,0.3,349.253957361002
293.15,0.35,350.66684424117
293.15,0.4,352.111330320792
293.15,0.45,353.71045123717
293.15,0.5,355.405983471499
293.15,0.55,357.877262994413
293.15,0.6,360.430702993857
293.15,0.65,364.491441590308
293.15,0.7,368.552180186759
293.15,0.75,373.205427451808
293.15,0.8,377.863117197409
293.15,0.85,382.329394027145
293.15,0.9,386.782037647685
293.15,0.95,391.915608917404
293.15,1.0,397.146891624324
303.15,0.0,325.8528
303.15,0.05,332.053969060868
303.15,0.1,338.255138121735
303.15,0.15,341.213534696856
303.15,0.2,344.125648198086
303.15,0.25,346.537686775842
303.15,0.3,348.935172159579
303.15,0.35,350.502130927059
303.15,0.4,352.032325816628
303.15,0.45,353.65241048097
303.15,0.5,355.277852861549
303.15,0.55,357.718864184461
303.15,0.6,360.221474894695
303.15,0.65,364.474295977873
303.15,0.7,368.887871625488
303.15,0.75,373.38720610118
303.15,0.8,377.895886673481
303.15,0.85,382.438345288767
303.15,0.9,386.985086453066
303.15,0.95,392.151897563571
303.15,1.0,397.408748530347
313.15,0.0,305.0304
313.15,0.05,327.801927723678
313.15,0.1,334.183222762716
313.15,0.15,339.387459823576
313.15,0.2,342.329137238589
313.15,0.25,345.074750157235
313.15,0.3,347.51871337865
313.15,0.35,349.686105949933
313.15,0.4,351.509425502202
313.15,0.45,353.261539956973
313.15,0.5,354.941740560569
313.15,0.55,357.109170648576
313.15,0.6,359.676557502865
313.15,0.65,363.461029312775
313.15,0.7,368.053325827087
313.15,0.75,372.642566297865
313.15,0.8,377.230181015583
313.15,0.85,381.880215575101
313.15,0.9,386.55642585093
313.15,0.95,391.762066468694
313.15,1.0,397.138300019906
